,k,t,i,b,x,y,z,r,Volume
0,0,1,8,a,0,0,0,1,1440000000
1,0,1,1,a,0,0,750,1,1440000000
2,0,1,10,a,0,0,1500,1,1440000000
3,0,1,8,a,0,0,2250,1,1440000000
4,0,1,14,d,1200,0,0,1,1400000000
5,0,1,6,d,1200,0,1000,1,1400000000
6,0,1,15,d,1200,0,2000,1,1400000000
7,0,1,12,c,0,1600,0,1,1440000000
8,0,1,9,c,0,1600,1000,1,1440000000
9,0,1,4,c,0,1600,2000,1,1440000000
10,0,1,5,b,1800,1400,0,1,1200000000
11,0,1,5,b,1800,1400,1000,1,1200000000
12,0,1,5,b,1800,1400,2000,1,1200000000
13,0,1,7,d,2200,0,0,1,1400000000
14,0,1,11,d,2200,0,1000,1,1400000000
15,0,1,6,d,2200,0,2000,1,1400000000
16,0,1,14,d,3000,1400,0,0,1400000000
17,0,1,7,d,3000,1400,1000,0,1400000000
18,0,1,11,d,3000,1400,2000,0,1400000000
19,0,1,6,d,3200,0,0,1,1400000000
20,0,1,15,d,3200,0,1000,1,1400000000
21,0,1,6,d,3200,0,2000,1,1400000000
22,0,1,7,d,4200,0,0,1,1400000000
23,0,1,15,d,4200,0,1000,1,1400000000
24,0,1,6,d,4200,0,2000,1,1400000000
25,0,1,12,c,4400,1400,0,1,1440000000
26,0,1,9,c,4400,1400,1000,1,1440000000
27,0,1,12,c,4400,1400,2000,1,1440000000
28,0,1,7,d,5200,0,0,1,1400000000
29,0,1,6,d,5200,0,1000,1,1400000000
30,0,1,15,d,5200,0,2000,1,1400000000
31,0,1,3,a,6200,0,0,1,1440000000
32,0,1,10,a,6200,0,750,1,1440000000
33,0,1,8,a,6200,0,1500,1,1440000000
34,0,1,3,a,6200,0,2250,1,1440000000
35,0,1,1,a,7400,0,0,1,1440000000
36,0,1,8,a,7400,0,750,1,1440000000
37,0,1,3,a,7400,0,1500,1,1440000000
38,0,1,8,a,7400,0,2250,1,1440000000
39,0,1,3,a,8600,0,0,1,1440000000
40,0,1,1,a,8600,0,750,1,1440000000
41,0,1,8,a,8600,0,1500,1,1440000000
42,0,1,3,a,8600,0,2250,1,1440000000
43,0,1,7,d,9800,0,0,1,1400000000
44,0,1,6,d,9800,0,1000,1,1400000000
45,0,1,6,d,9800,0,2000,1,1400000000
46,0,1,4,c,6200,1600,0,1,1440000000
47,0,1,9,c,6200,1600,1000,1,1440000000
48,0,1,2,c,6200,1600,2000,1,1440000000
49,0,1,7,d,9800,1400,0,0,1400000000
50,0,1,15,d,9800,1400,1000,0,1400000000
51,0,1,6,d,9800,1400,2000,0,1400000000
52,0,1,13,c,8000,1600,0,1,1440000000
53,0,1,4,c,8000,1600,1000,1,1440000000
54,0,1,4,c,8000,1600,2000,1,1440000000
55,0,1,7,d,10800,0,0,1,1400000000
56,0,1,6,d,10800,0,1000,1,1400000000
57,0,1,15,d,10800,0,2000,1,1400000000
58,0,1,6,d,11200,1400,0,0,1400000000
59,0,1,6,d,11200,1400,1000,0,1400000000
60,0,1,15,d,11200,1400,2000,0,1400000000
61,0,1,8,a,11800,0,0,0,1440000000
62,0,1,3,a,11800,0,750,0,1440000000
63,0,1,8,a,11800,0,1500,0,1440000000
64,0,1,1,a,11800,0,2250,0,1440000000
